,COMMUNITY AREA NAME,BUILDING_SUBTYPE,TOTAL KWH,TOTAL THERMS,TOTAL POPULATION,TOTAL UNITS,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE
63077,West Ridge,Multi < 7,76905.0,20364.0,118.0,43.0,75.88,3.03
63078,West Ridge,Single Family,18673.0,4991.0,118.0,43.0,0.0,3.03
63079,West Ridge,Multi < 7,57565.0,12512.0,68.0,24.0,75.25,3.24
63080,West Ridge,Single Family,32250.0,7127.0,68.0,24.0,75.4,3.24
63081,West Ridge,Multi < 7,47147.0,11820.0,103.0,28.0,83.25,3.68
63082,West Ridge,Single Family,33521.0,6095.0,103.0,28.0,86.25,3.68
63084,West Ridge,Multi < 7,22802.0,4421.0,11.0,3.0,81.0,3.67
63087,West Ridge,Multi < 7,31159.0,11004.0,47.0,21.0,82.5,2.35
63090,West Ridge,Multi < 7,8753.0,1845.0,33.0,15.0,87.0,2.2
63091,West Ridge,Multi < 7,57968.0,10375.0,41.0,24.0,84.0,1.95
63092,West Ridge,Single Family,92891.0,17469.0,41.0,24.0,72.67,1.95
63093,West Ridge,Single Family,149487.0,29067.0,51.0,20.0,75.74,2.55
63095,West Ridge,Multi < 7,23231.0,2996.0,37.0,12.0,49.0,3.08
63096,West Ridge,Single Family,56039.0,7791.0,37.0,12.0,13.8,3.08
63097,West Ridge,Single Family,20144.0,5203.0,22.0,10.0,52.75,2.44
63098,West Ridge,Single Family,128827.0,20642.0,41.0,13.0,69.92,3.15
63100,West Ridge,Multi < 7,150085.0,33011.0,96.0,35.0,72.1,3.0
63101,West Ridge,Single Family,13242.0,2267.0,96.0,35.0,81.0,3.0
63103,West Ridge,Multi < 7,107495.0,28315.0,132.0,37.0,70.0,3.57
63104,West Ridge,Single Family,67553.0,14667.0,132.0,37.0,84.33,3.57
63106,West Ridge,Multi < 7,149257.0,31143.0,111.0,41.0,78.93,3.08
63107,West Ridge,Single Family,22119.0,2529.0,111.0,41.0,42.0,3.08
63108,West Ridge,Multi < 7,202080.0,37665.0,113.0,39.0,78.57,2.9
63109,West Ridge,Single Family,29804.0,7449.0,113.0,39.0,62.75,2.9
63111,West Ridge,Multi < 7,92985.0,13763.0,56.0,24.0,81.6,2.33
63112,West Ridge,Single Family,93696.0,15488.0,56.0,24.0,81.6,2.33
63114,West Ridge,Multi < 7,49106.0,21681.0,80.0,27.0,56.8,2.96
63115,West Ridge,Single Family,120425.0,22811.0,80.0,27.0,75.0,2.96
63116,West Ridge,Single Family,96048.0,16159.0,43.0,14.0,80.45,3.07
63117,West Ridge,Multi < 7,88356.0,21914.0,78.0,32.0,73.86,2.69
63118,West Ridge,Single Family,33256.0,7975.0,78.0,32.0,46.8,2.69
63119,West Ridge,Multi < 7,43960.0,4469.0,48.0,20.0,54.67,2.53
63120,West Ridge,Single Family,89992.0,17837.0,48.0,20.0,83.27,2.53
63126,West Ridge,Multi < 7,118176.0,24635.0,142.0,66.0,65.6,2.33
63127,West Ridge,Single Family,221893.0,31586.0,142.0,66.0,72.46,2.33
63129,West Ridge,Multi < 7,130757.0,24707.0,68.0,36.0,66.77,2.0
63130,West Ridge,Multi < 7,47329.0,11168.0,11.0,8.0,63.25,1.57
63131,West Ridge,Multi < 7,10228.0,2176.0,14.0,8.0,86.0,1.75
63132,West Ridge,Multi < 7,55353.0,9349.0,51.0,19.0,76.25,2.68
63133,West Ridge,Single Family,88812.0,12502.0,51.0,19.0,65.27,2.68
63134,West Ridge,Single Family,44949.0,6252.0,6.0,3.0,67.5,2.0
63136,West Ridge,Single Family,101701.0,11514.0,43.0,9.0,56.56,4.78
63138,West Ridge,Single Family,62491.0,9397.0,21.0,12.0,55.11,2.1
63139,West Ridge,Single Family,82253.0,17050.0,26.0,13.0,80.82,2.17
63140,West Ridge,Multi < 7,61735.0,17607.0,64.0,24.0,68.86,2.78
63141,West Ridge,Single Family,97847.0,12975.0,64.0,24.0,67.91,2.78
63142,West Ridge,Multi < 7,51161.0,13924.0,39.0,26.0,66.17,1.86
63143,West Ridge,Single Family,38118.0,8508.0,39.0,26.0,64.57,1.86
63145,West Ridge,Single Family,25425.0,5502.0,20.0,6.0,52.75,3.33
63151,West Ridge,Single Family,134023.0,28643.0,38.0,17.0,73.2,2.38
63152,West Ridge,Single Family,91080.0,20451.0,32.0,13.0,75.73,2.67
63153,West Ridge,Single Family,52461.0,6926.0,14.0,6.0,81.4,2.33
63154,West Ridge,Single Family,137746.0,21295.0,41.0,14.0,79.85,2.93
63155,West Ridge,Single Family,153299.0,22893.0,30.0,11.0,78.31,3.0
63156,West Ridge,Single Family,97373.0,19504.0,20.0,10.0,71.83,2.0
63157,West Ridge,Single Family,13402.0,2431.0,8.0,3.0,56.0,2.67
63158,West Ridge,Single Family,23063.0,5154.0,17.0,5.0,55.67,3.4
63159,West Ridge,Single Family,83387.0,14135.0,19.0,9.0,76.33,2.11
63162,West Ridge,Single Family,31990.0,4571.0,0.0,0.0,64.5,0.0
63164,West Ridge,Multi < 7,30515.0,14129.0,39.0,18.0,71.2,2.79
63165,West Ridge,Single Family,80127.0,8785.0,39.0,18.0,55.0,2.79
63166,West Town,Multi < 7,35923.0,11244.0,0.0,0.0,128.5,0.0
63167,West Ridge,Multi < 7,144636.0,31072.0,104.0,44.0,73.31,2.6
63168,West Ridge,Single Family,73466.0,11248.0,104.0,44.0,58.88,2.6
63169,West Ridge,Multi < 7,142190.0,23164.0,79.0,35.0,62.64,2.72
63170,West Ridge,Single Family,52796.0,9644.0,79.0,35.0,61.67,2.72
63171,West Ridge,Single Family,138032.0,22563.0,46.0,17.0,74.29,2.88
63172,West Ridge,Single Family,100191.0,16265.0,41.0,13.0,82.18,3.15
63173,West Ridge,Multi < 7,153727.0,22794.0,73.0,32.0,69.27,3.04
63174,West Ridge,Single Family,18016.0,4359.0,73.0,32.0,58.0,3.04
63176,West Ridge,Multi < 7,95110.0,20265.0,69.0,26.0,71.67,2.88
63177,West Ridge,Single Family,17678.0,5156.0,69.0,26.0,56.67,2.88
63178,West Ridge,Multi < 7,65670.0,9559.0,52.0,17.0,69.0,3.25
63179,West Ridge,Single Family,68222.0,8443.0,52.0,17.0,46.5,3.25
63180,West Ridge,Multi 7+,8605.0,10022.0,69.0,25.0,79.0,2.88
63181,West Ridge,Multi < 7,108801.0,6100.0,69.0,25.0,56.0,2.88
63184,West Ridge,Multi < 7,47729.0,7083.0,23.0,10.0,55.67,3.29
63186,West Ridge,Multi < 7,15974.0,3042.0,94.0,28.0,51.0,3.48
63187,West Ridge,Single Family,97288.0,12232.0,94.0,28.0,52.0,3.48
63189,West Ridge,Multi < 7,99532.0,13834.0,50.0,27.0,66.14,2.63
63190,West Ridge,Single Family,40795.0,6853.0,50.0,27.0,55.4,2.63
63191,West Ridge,Single Family,67924.0,9730.0,30.0,7.0,53.0,4.29
63192,West Ridge,Single Family,47085.0,6080.0,21.0,7.0,53.25,3.0
63193,West Ridge,Multi < 7,30163.0,5272.0,12.0,6.0,68.0,2.4
63194,West Ridge,Multi < 7,56563.0,16271.0,44.0,24.0,70.29,2.1
63195,West Ridge,Single Family,39192.0,7428.0,44.0,24.0,58.67,2.1
63197,West Ridge,Multi < 7,59142.0,10890.0,23.0,12.0,50.33,2.09
63199,West Ridge,Multi < 7,92277.0,19259.0,109.0,49.0,68.8,2.73
63200,West Ridge,Single Family,40224.0,5218.0,109.0,49.0,8.67,2.73
63202,West Ridge,Multi < 7,86251.0,14673.0,0.0,0.0,40.5,0.0
63204,West Ridge,Multi < 7,355672.0,52667.0,185.0,70.0,50.0,2.8
63206,West Ridge,Single Family,102200.0,12951.0,78.0,24.0,53.36,3.71
63207,West Town,Multi < 7,37046.0,3040.0,48.0,30.0,119.0,1.66
63208,West Ridge,Multi < 7,27455.0,8150.0,42.0,18.0,62.5,2.63
63209,West Ridge,Single Family,101523.0,12381.0,42.0,18.0,30.18,2.63
63210,West Ridge,Multi < 7,12182.0,3383.0,20.0,13.0,56.0,3.33
63211,West Ridge,Single Family,19046.0,4173.0,20.0,13.0,55.0,3.33
63213,West Ridge,Multi < 7,137108.0,35309.0,171.0,63.0,64.0,2.9
63214,West Ridge,Single Family,26688.0,5832.0,171.0,63.0,54.0,2.9
63215,West Ridge,Multi < 7,58889.0,15848.0,126.0,32.0,51.0,4.06
63216,West Ridge,Single Family,122167.0,18980.0,126.0,32.0,26.27,4.06
63218,West Ridge,Multi < 7,165045.0,29750.0,161.0,68.0,54.08,2.6
63219,West Ridge,Multi < 7,82526.0,14473.0,58.0,20.0,58.83,3.05
63220,West Ridge,Single Family,83862.0,7113.0,58.0,20.0,54.4,3.05
63222,West Ridge,Multi < 7,4633.0,1794.0,132.0,51.0,52.0,2.93
63223,West Ridge,Single Family,50897.0,6368.0,132.0,51.0,55.6,2.93
63225,West Ridge,Multi 7+,53762.0,18299.0,131.0,43.0,80.0,3.28
63226,West Ridge,Multi < 7,65581.0,9251.0,131.0,43.0,50.33,3.28
63227,West Ridge,Single Family,37943.0,6218.0,131.0,43.0,55.5,3.28
63229,West Ridge,Multi 7+,51449.0,13120.0,128.0,33.0,57.0,3.88
63230,West Ridge,Multi < 7,115032.0,26971.0,128.0,33.0,71.14,3.88
63231,West Ridge,Single Family,24181.0,3047.0,128.0,33.0,54.0,3.88
63233,West Ridge,Multi < 7,21090.0,3463.0,43.0,16.0,57.0,3.07
63234,West Ridge,Single Family,74616.0,9640.0,43.0,16.0,55.71,3.07
63235,West Ridge,Multi < 7,20008.0,6202.0,46.0,20.0,56.0,2.42
63236,West Ridge,Single Family,132091.0,19348.0,46.0,20.0,53.8,2.42
63237,West Ridge,Single Family,163812.0,21057.0,67.0,18.0,55.06,3.72
63238,West Ridge,Multi < 7,77540.0,15610.0,71.0,28.0,67.4,2.54
63239,West Ridge,Single Family,81307.0,13819.0,71.0,28.0,55.45,2.54
63240,West Ridge,Multi < 7,48351.0,9863.0,57.0,23.0,55.4,2.71
63241,West Ridge,Single Family,99813.0,13578.0,57.0,23.0,53.08,2.71
63242,West Ridge,Multi < 7,273778.0,34614.0,135.0,49.0,47.38,2.81
63243,West Ridge,Multi < 7,82539.0,20544.0,179.0,67.0,69.4,3.09
63249,West Ridge,Multi < 7,53948.0,12039.0,137.0,51.0,80.33,2.98
63254,West Ridge,Multi < 7,178285.0,37971.0,192.0,68.0,60.2,3.2
63255,West Ridge,Single Family,11650.0,6100.0,192.0,68.0,0.0,3.2
63257,West Ridge,Multi 7+,87846.0,25111.0,324.0,111.0,67.5,3.18
63258,West Ridge,Multi < 7,13219.0,6033.0,324.0,111.0,84.0,3.18
63259,West Ridge,Multi < 7,144008.0,39697.0,183.0,51.0,61.8,3.98
63260,West Ridge,Multi 7+,70563.0,19020.0,201.0,70.0,81.0,2.96
63261,West Ridge,Multi < 7,136244.0,32405.0,201.0,70.0,73.86,2.96
63263,West Ridge,Multi < 7,169666.0,34124.0,148.0,45.0,76.22,3.44
63265,West Ridge,Multi < 7,108564.0,21089.0,73.0,33.0,61.57,2.81
63266,West Ridge,Single Family,8267.0,5848.0,73.0,33.0,0.0,2.81
63268,West Ridge,Multi 7+,27907.0,6543.0,179.0,67.0,81.0,3.09
63269,West Ridge,Multi 7+,15120.0,5072.0,146.0,56.0,81.0,3.11
63270,West Ridge,Multi < 7,146124.0,31736.0,146.0,56.0,55.36,3.11
63271,West Ridge,Multi < 7,42193.0,12331.0,95.0,22.0,55.2,4.52
63273,West Ridge,Single Family,130270.0,11839.0,95.0,22.0,56.6,4.52
63274,West Ridge,Multi < 7,319663.0,52562.0,185.0,64.0,59.0,3.36
63275,West Ridge,Single Family,19985.0,8031.0,185.0,64.0,26.5,3.36
63276,West Ridge,Multi < 7,63863.0,14500.0,80.0,35.0,54.2,2.86
63277,West Ridge,Single Family,83283.0,15804.0,80.0,35.0,55.91,2.86
63278,West Ridge,Multi 7+,160225.0,31872.0,175.0,71.0,55.5,2.87
63279,West Ridge,Multi < 7,148136.0,28621.0,175.0,71.0,66.56,2.87
63282,West Ridge,Multi < 7,202512.0,42609.0,267.0,75.0,58.1,3.81
63285,West Ridge,Multi < 7,178497.0,43423.0,156.0,48.0,71.83,3.47
63286,West Ridge,Multi < 7,293073.0,63514.0,169.0,62.0,67.77,3.13
63287,West Ridge,Multi < 7,208720.0,47453.0,124.0,42.0,58.9,2.62
63288,West Ridge,Multi 7+,19060.0,15311.0,159.0,54.0,79.0,3.18
63289,West Ridge,Multi < 7,171264.0,23562.0,159.0,54.0,57.0,3.18
63290,West Ridge,Single Family,7087.0,3163.0,159.0,54.0,60.0,3.18
63292,West Ridge,Multi < 7,243838.0,43671.0,181.0,63.0,50.79,3.07
63293,West Ridge,Single Family,38110.0,4956.0,181.0,63.0,0.0,3.07
63294,West Ridge,Multi < 7,173788.0,25578.0,94.0,29.0,57.22,3.24
63295,West Ridge,Single Family,31086.0,5114.0,94.0,29.0,58.0,3.24
63296,West Ridge,Multi < 7,120550.0,18245.0,83.0,23.0,53.38,3.77
63297,West Ridge,Single Family,99881.0,11291.0,83.0,23.0,59.0,3.77
63300,West Ridge,Multi < 7,192332.0,11083.0,43.0,14.0,57.0,3.31
63302,West Ridge,Single Family,49164.0,7357.0,43.0,14.0,56.0,3.31
63303,West Ridge,Multi < 7,42818.0,4990.0,45.0,14.0,55.5,3.75
63304,West Ridge,Single Family,46355.0,8046.0,45.0,14.0,56.86,3.75
63305,West Ridge,Multi < 7,59037.0,4743.0,74.0,24.0,48.5,3.22
63306,West Ridge,Single Family,84737.0,11013.0,74.0,24.0,36.18,3.22
63309,West Ridge,Multi 7+,69232.0,6938.0,108.0,49.0,60.0,2.4
63310,West Ridge,Multi < 7,86640.0,19538.0,108.0,49.0,75.0,2.4
63312,West Ridge,Multi 7+,28442.0,6296.0,112.0,40.0,82.0,3.59
63313,West Ridge,Multi < 7,161455.0,38181.0,165.0,41.0,51.11,4.02
63314,West Ridge,Single Family,82715.0,8072.0,165.0,41.0,28.5,4.02
63316,West Ridge,Multi < 7,68071.0,17469.0,125.0,51.0,60.2,2.55
63317,West Ridge,Single Family,15112.0,1685.0,125.0,51.0,4.0,2.55
63319,West Ridge,Multi 7+,26823.0,15062.0,70.0,34.0,67.5,2.26
63320,West Ridge,Multi < 7,12139.0,1963.0,70.0,34.0,52.0,2.26
63321,West Ridge,Single Family,240338.0,30003.0,106.0,24.0,0.0,4.42
63322,West Ridge,Multi < 7,11223.0,2224.0,43.0,15.0,110.0,3.91
63323,West Ridge,Single Family,52468.0,11005.0,43.0,15.0,49.64,3.91
63324,West Ridge,Multi < 7,98924.0,14751.0,63.0,22.0,46.0,3.32
63326,West Ridge,Single Family,89588.0,10760.0,124.0,54.0,54.3,2.43
63327,West Ridge,Multi < 7,14047.0,2237.0,47.0,14.0,36.0,3.62
63328,West Ridge,Single Family,91349.0,12132.0,47.0,14.0,53.6,3.62
63329,West Ridge,Multi < 7,20514.0,2600.0,46.0,20.0,87.5,2.56
63330,West Ridge,Single Family,59758.0,12103.0,46.0,20.0,47.9,2.56
63331,West Ridge,Single Family,248021.0,34547.0,61.0,19.0,55.88,3.39
63332,West Ridge,Multi < 7,22833.0,3531.0,66.0,21.0,65.5,3.14
63333,West Ridge,Single Family,137849.0,20561.0,66.0,21.0,56.2,3.14
63334,West Ridge,Multi < 7,199223.0,35258.0,120.0,45.0,83.19,3.08
63335,West Ridge,Single Family,12536.0,3342.0,120.0,45.0,56.0,3.08
63336,West Ridge,Multi < 7,171521.0,31137.0,119.0,40.0,85.25,3.05
63337,West Ridge,Single Family,28077.0,2388.0,119.0,40.0,51.0,3.05
63338,West Ridge,Single Family,192928.0,28609.0,68.0,23.0,56.3,2.96
63339,West Ridge,Single Family,165152.0,28719.0,69.0,23.0,56.65,3.0
63340,West Ridge,Multi < 7,9230.0,1812.0,91.0,20.0,58.0,4.55
63341,West Ridge,Single Family,106677.0,15441.0,91.0,20.0,55.67,4.55
63346,West Ridge,Multi < 7,207562.0,53823.0,160.0,54.0,79.37,3.08
63347,West Ridge,Single Family,91416.0,9309.0,160.0,54.0,84.8,3.08
63348,West Ridge,Multi < 7,229642.0,53616.0,151.0,54.0,79.44,3.15
63349,West Ridge,Multi < 7,149361.0,33910.0,111.0,57.0,77.93,2.27
63350,West Ridge,Multi < 7,221394.0,38555.0,116.0,58.0,84.44,2.37
63351,West Ridge,Single Family,43345.0,5912.0,116.0,58.0,0.0,2.37
63353,West Ridge,Multi < 7,97275.0,19149.0,111.0,42.0,79.0,2.71
63354,West Ridge,Single Family,80146.0,12668.0,111.0,42.0,86.38,2.71
63356,West Ridge,Multi < 7,146368.0,36172.0,138.0,61.0,77.46,2.51
63357,West Ridge,Single Family,42608.0,6234.0,138.0,61.0,56.0,2.51
63358,West Ridge,Multi < 7,54844.0,15847.0,80.0,39.0,80.5,2.42
63359,West Ridge,Single Family,51169.0,10163.0,80.0,39.0,84.57,2.42
63361,West Ridge,Single Family,32192.0,7402.0,57.0,26.0,85.67,2.71
63362,West Ridge,Multi 7+,10789.0,3315.0,73.0,30.0,83.0,2.61
63363,West Ridge,Multi < 7,99536.0,17578.0,73.0,30.0,75.86,2.61
63364,West Ridge,Single Family,72277.0,14719.0,73.0,30.0,49.9,2.61
63365,West Ridge,Multi < 7,31403.0,12532.0,58.0,22.0,84.5,3.05
63366,West Ridge,Single Family,95289.0,13428.0,58.0,22.0,80.56,3.05
63367,West Ridge,Multi < 7,171311.0,35722.0,90.0,38.0,84.53,2.5
63369,West Ridge,Multi < 7,124996.0,29323.0,103.0,41.0,84.58,2.78
63372,West Ridge,Multi < 7,131687.0,26128.0,84.0,42.0,82.91,2.15
63373,West Ridge,Single Family,8914.0,1513.0,84.0,42.0,59.0,2.15
63375,West Ridge,Multi < 7,138923.0,32554.0,127.0,47.0,84.62,3.18
63377,West Ridge,Multi 7+,19844.0,7270.0,24.0,14.0,84.0,1.85
63378,West Ridge,Single Family,56657.0,1677.0,24.0,14.0,66.5,1.85
63379,West Ridge,Multi 7+,32775.0,3320.0,37.0,22.0,84.0,2.64
63380,West Ridge,Single Family,128565.0,24278.0,55.0,21.0,84.71,2.62
63382,West Ridge,Multi < 7,11023.0,2124.0,11.0,4.0,86.0,2.75
63383,West Ridge,Multi < 7,56986.0,12786.0,97.0,32.0,22.5,3.13
63389,West Ridge,Single Family,114120.0,24790.0,41.0,15.0,83.19,2.73
63390,West Ridge,Single Family,134629.0,20431.0,55.0,15.0,82.57,3.67
63391,West Ridge,Multi < 7,158194.0,34757.0,105.0,42.0,74.91,2.56
63392,West Ridge,Single Family,50275.0,11805.0,105.0,42.0,81.86,2.56
63393,West Ridge,Single Family,160014.0,28958.0,57.0,19.0,80.05,3.0
63395,West Ridge,Single Family,96029.0,17728.0,44.0,14.0,85.46,3.14
63396,West Ridge,Multi < 7,47585.0,11784.0,79.0,24.0,64.33,3.59
63397,West Ridge,Single Family,105039.0,18043.0,79.0,24.0,85.08,3.59
63399,West Ridge,Multi < 7,98484.0,19291.0,58.0,33.0,83.45,2.9
63400,West Ridge,Single Family,12584.0,2595.0,58.0,33.0,66.0,2.9
63401,West Ridge,Multi < 7,112643.0,25098.0,68.0,30.0,83.82,2.52
63402,West Ridge,Single Family,31658.0,4388.0,68.0,30.0,78.5,2.52
63403,West Ridge,Multi < 7,31550.0,4446.0,49.0,19.0,85.5,3.5
63404,West Ridge,Single Family,106548.0,17102.0,49.0,19.0,82.27,3.5
63405,West Ridge,Single Family,101711.0,15327.0,45.0,13.0,55.18,3.46
63406,West Ridge,Single Family,102271.0,17551.0,55.0,19.0,53.5,2.89
63407,West Ridge,Multi < 7,17609.0,2355.0,67.0,20.0,80.0,3.35
63408,West Ridge,Single Family,177507.0,27063.0,67.0,20.0,78.06,3.35
63410,West Ridge,Multi < 7,66950.0,10157.0,69.0,27.0,74.2,2.65
63411,West Ridge,Single Family,87147.0,16626.0,69.0,27.0,80.09,2.65
63412,West Ridge,Single Family,156684.0,24698.0,51.0,20.0,83.18,2.55
63413,West Ridge,Multi < 7,142070.0,32245.0,109.0,46.0,73.33,2.66
63414,West Ridge,Single Family,53018.0,10762.0,109.0,46.0,82.67,2.66
63415,West Ridge,Multi < 7,239028.0,45299.0,124.0,47.0,80.39,2.95
63416,West Ridge,Multi < 7,195828.0,38917.0,112.0,38.0,80.13,3.03
63417,West Ridge,Single Family,24084.0,4719.0,112.0,38.0,55.0,3.03
63418,West Ridge,Multi < 7,201206.0,46737.0,94.0,42.0,84.24,2.47
63419,West Ridge,Single Family,6731.0,1475.0,94.0,42.0,63.5,2.47
63421,West Ridge,Multi < 7,211558.0,43581.0,148.0,54.0,76.8,2.85
63422,West Ridge,Multi < 7,217855.0,42924.0,89.0,45.0,72.39,2.47
63423,West Ridge,Single Family,28473.0,3317.0,89.0,45.0,57.0,2.47
63424,West Ridge,Multi < 7,114958.0,34553.0,105.0,44.0,69.8,2.69
63425,West Ridge,Multi < 7,15620.0,2542.0,48.0,13.0,31.0,4.0
63426,West Ridge,Single Family,83559.0,17374.0,48.0,13.0,85.7,4.0
63428,West Ridge,Single Family,87740.0,12626.0,46.0,10.0,52.1,4.6
63429,West Ridge,Multi < 7,117729.0,39252.0,104.0,42.0,74.29,2.97
63430,West Ridge,Multi < 7,59350.0,12988.0,45.0,24.0,73.57,2.5
63431,West Ridge,Single Family,30424.0,7362.0,45.0,24.0,54.67,2.5
63432,West Ridge,Multi < 7,64478.0,14191.0,61.0,25.0,64.5,2.77
63434,West Ridge,Multi < 7,23510.0,6037.0,0.0,0.0,53.0,0.0
63436,West Ridge,Multi < 7,140644.0,34700.0,91.0,39.0,81.57,2.46
63440,West Ridge,Multi < 7,25300.0,2768.0,20.0,10.0,54.0,2.0
63442,West Ridge,Single Family,17809.0,3592.0,20.0,10.0,68.0,2.0
63444,West Ridge,Single Family,79854.0,8774.0,78.0,35.0,7.0,2.23
63448,West Ridge,Multi < 7,105357.0,21684.0,86.0,43.0,79.0,2.32
63449,West Ridge,Single Family,41370.0,12528.0,86.0,43.0,27.0,2.32
63450,West Ridge,Multi < 7,149257.0,38252.0,95.0,38.0,82.5,2.79
63451,West Ridge,Multi < 7,137789.0,26365.0,92.0,40.0,83.67,2.42
63452,West Ridge,Multi < 7,107734.0,28035.0,59.0,26.0,82.27,2.46
63453,West Ridge,Single Family,16279.0,2654.0,59.0,26.0,71.5,2.46
63454,West Ridge,Multi < 7,133975.0,27526.0,97.0,43.0,76.85,2.77
63455,West Ridge,Multi 7+,22249.0,308.0,135.0,46.0,84.0,2.93
63456,West Ridge,Multi < 7,182909.0,36704.0,135.0,46.0,79.46,2.93
63457,West Ridge,Multi < 7,98148.0,31266.0,85.0,41.0,76.27,2.3
63458,West Ridge,Single Family,48539.0,8342.0,85.0,41.0,84.0,2.3
63459,West Ridge,Multi < 7,163620.0,44759.0,120.0,57.0,72.38,2.61
63460,West Ridge,Multi < 7,195403.0,48616.0,102.0,52.0,66.22,2.62
63461,West Ridge,Multi < 7,169789.0,36459.0,120.0,45.0,79.71,2.86
63463,West Ridge,Multi < 7,219442.0,43332.0,155.0,57.0,79.44,2.87
63465,West Ridge,Multi < 7,223198.0,56890.0,142.0,57.0,72.58,2.63
63468,West Ridge,Multi < 7,224745.0,49082.0,161.0,60.0,71.94,2.98
63469,West Ridge,Single Family,25857.0,4997.0,161.0,60.0,0.0,2.98
63472,West Ridge,Multi < 7,62273.0,13014.0,105.0,33.0,84.5,3.28
63473,West Ridge,Single Family,65918.0,10443.0,105.0,33.0,82.67,3.28
63474,West Ridge,Multi < 7,159511.0,30072.0,135.0,48.0,70.25,3.14
63475,West Ridge,Single Family,37484.0,7817.0,135.0,48.0,82.4,3.14
63476,West Ridge,Multi < 7,190621.0,42471.0,127.0,41.0,60.6,3.26
63478,West Ridge,Multi < 7,210522.0,36551.0,137.0,50.0,79.13,3.61
63479,West Ridge,Single Family,168556.0,27802.0,48.0,18.0,82.56,2.82
63480,West Ridge,Single Family,120538.0,26805.0,43.0,18.0,81.89,2.53
63481,West Ridge,Single Family,132855.0,23670.0,56.0,19.0,80.78,3.29
63483,West Ridge,Multi < 7,48290.0,9594.0,62.0,31.0,80.33,2.38
63484,West Ridge,Single Family,90300.0,21663.0,62.0,31.0,69.83,2.38
63485,West Ridge,Single Family,95082.0,19093.0,59.0,16.0,84.09,3.69
63486,West Ridge,Single Family,137523.0,22225.0,48.0,14.0,83.15,3.43
63487,West Ridge,Single Family,90332.0,14657.0,34.0,13.0,58.62,2.62
63488,West Ridge,Single Family,86952.0,12552.0,54.0,14.0,50.58,3.86
63489,West Ridge,Multi < 7,54837.0,8048.0,60.0,20.0,36.25,3.33
63490,West Ridge,Single Family,92320.0,10385.0,60.0,20.0,54.3,3.33
63491,West Ridge,Multi < 7,72428.0,15135.0,51.0,21.0,46.57,2.83
63495,West Ridge,Multi 7+,36293.0,10667.0,175.0,77.0,80.0,2.82
63496,West Ridge,Multi < 7,127349.0,31260.0,175.0,77.0,77.56,2.82
63498,West Ridge,Single Family,14952.0,3216.0,175.0,77.0,42.5,2.82
63500,West Ridge,Multi < 7,247549.0,43465.0,143.0,68.0,76.46,2.38
63501,West Ridge,Single Family,24038.0,4237.0,143.0,68.0,20.5,2.38
63504,West Ridge,Multi < 7,135408.0,51232.0,205.0,74.0,67.0,3.2
63505,West Ridge,Single Family,18540.0,4003.0,205.0,74.0,83.0,3.2
63507,West Ridge,Multi < 7,283607.0,42455.0,174.0,66.0,77.71,3.11
63508,West Ridge,Single Family,6393.0,2294.0,174.0,66.0,82.0,3.11
63510,West Ridge,Multi < 7,252894.0,43562.0,165.0,57.0,81.69,3.3
63511,West Ridge,Multi < 7,159865.0,42228.0,178.0,54.0,80.45,3.79
63512,West Ridge,Single Family,47411.0,5145.0,178.0,54.0,68.75,3.79
63513,West Ridge,Multi 7+,67207.0,12346.0,85.0,45.0,80.0,2.43
63514,West Ridge,Multi < 7,36728.0,8634.0,85.0,45.0,54.33,2.43
63515,West Ridge,Single Family,55729.0,12029.0,85.0,45.0,66.14,2.43
63516,West Ridge,Multi < 7,82703.0,28833.0,122.0,45.0,67.0,3.05
63517,West Ridge,Single Family,40729.0,6450.0,122.0,45.0,82.25,3.05
63519,West Ridge,Multi < 7,13654.0,5129.0,2.0,2.0,81.0,1.0
63522,West Ridge,Multi < 7,33035.0,5540.0,6.0,2.0,81.0,6.0
63523,West Ridge,Single Family,58129.0,4446.0,6.0,2.0,85.0,6.0
63524,West Ridge,Multi 7+,46404.0,9019.0,127.0,44.0,57.0,3.63
63525,West Ridge,Multi < 7,111021.0,15353.0,127.0,44.0,70.83,3.63
63526,West Ridge,Single Family,45924.0,8217.0,127.0,44.0,78.25,3.63
63528,West Ridge,Multi < 7,163602.0,33235.0,133.0,39.0,61.55,3.59
63529,West Ridge,Single Family,11041.0,1459.0,133.0,39.0,54.0,3.59
63532,West Ridge,Multi 7+,55168.0,15757.0,124.0,34.0,83.0,4.13
63533,West Ridge,Multi < 7,51304.0,8317.0,124.0,34.0,76.25,4.13
63534,West Ridge,Single Family,117889.0,13356.0,0.0,0.0,44.0,0.0
63535,West Ridge,Multi < 7,98551.0,26239.0,157.0,68.0,64.83,2.75
63536,West Ridge,Single Family,44552.0,6283.0,157.0,68.0,1.0,2.75
63544,West Ridge,Single Family,45019.0,1444.0,46.0,19.0,73.0,2.71
63547,West Ridge,Multi < 7,13965.0,6490.0,28.0,7.0,41.0,4.67
63549,West Ridge,Multi 7+,67652.0,8443.0,152.0,65.0,81.0,2.71
63550,West Ridge,Multi < 7,128569.0,43843.0,152.0,65.0,65.44,2.71
63552,West Ridge,Multi < 7,123661.0,38003.0,226.0,62.0,74.5,4.43
63553,West Ridge,Multi < 7,72243.0,22827.0,107.0,39.0,72.2,3.34
