,COMMUNITY AREA NAME,BUILDING_SUBTYPE,TOTAL KWH,TOTAL THERMS,TOTAL POPULATION,TOTAL UNITS,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE
8889,Avondale,Single Family,93823.0,15526.0,121.0,38.0,101.08,3.36
8890,Avondale,Multi < 7,149891.0,23853.0,102.0,34.0,85.31,3.09
8891,Avondale,Single Family,85610.0,11681.0,102.0,34.0,47.4,3.09
8892,Avondale,Multi < 7,44921.0,5837.0,0.0,0.0,110.33,0.0
8893,Avondale,Single Family,63753.0,12685.0,62.0,36.0,99.78,1.77
8894,Avondale,Single Family,17925.0,2574.0,0.0,0.0,112.67,0.0
8895,Avondale,Multi < 7,165170.0,30507.0,116.0,38.0,106.0,3.52
8896,Avondale,Single Family,60112.0,9194.0,116.0,38.0,90.83,3.52
8897,Avondale,Multi < 7,105759.0,15705.0,62.0,24.0,94.0,2.82
8898,Avondale,Single Family,21331.0,4788.0,62.0,24.0,109.33,2.82
8899,Avondale,Multi < 7,10724.0,7037.0,43.0,12.0,3.0,3.58
8901,Avondale,Multi < 7,120898.0,23288.0,117.0,38.0,93.73,3.25
8902,Avondale,Single Family,62279.0,7641.0,117.0,38.0,103.17,3.25
8904,Avondale,Multi < 7,51344.0,10566.0,71.0,39.0,78.0,1.97
8905,Avondale,Single Family,52118.0,9607.0,71.0,39.0,102.29,1.97
8906,Avondale,Multi < 7,66136.0,10750.0,62.0,36.0,86.43,1.77
8907,Avondale,Multi < 7,58329.0,11128.0,66.0,24.0,109.86,3.0
8908,Avondale,Single Family,84491.0,14911.0,66.0,24.0,100.27,3.0
8909,Avondale,Multi < 7,121282.0,23493.0,90.0,35.0,106.85,2.9
8910,Avondale,Single Family,27444.0,4441.0,90.0,35.0,93.4,2.9
8912,Avondale,Multi 7+,35848.0,5948.0,78.0,41.0,86.0,2.05
8913,Avondale,Multi < 7,47452.0,7934.0,78.0,41.0,85.5,2.05
8916,Avondale,Multi < 7,28348.0,9310.0,72.0,35.0,110.67,2.25
8917,Avondale,Single Family,21355.0,3395.0,72.0,35.0,114.0,2.25
8919,Avondale,Multi 7+,17839.0,7566.0,145.0,64.0,101.0,2.38
8920,Avondale,Multi < 7,106296.0,17148.0,145.0,64.0,107.43,2.38
8921,Avondale,Single Family,31414.0,2960.0,145.0,64.0,117.5,2.38
8922,Avondale,Multi < 7,52585.0,10428.0,52.0,22.0,91.2,3.25
8923,Avondale,Single Family,81296.0,9978.0,52.0,22.0,111.13,3.25
8924,Avondale,Multi < 7,73835.0,10735.0,87.0,36.0,109.0,3.11
8925,Avondale,Single Family,74551.0,11527.0,87.0,36.0,114.88,3.11
8926,Avondale,Single Family,29696.0,5985.0,47.0,26.0,78.2,2.04
8929,Avondale,Multi < 7,63553.0,12192.0,105.0,35.0,78.14,3.5
8930,Avondale,Single Family,53571.0,5697.0,105.0,35.0,102.33,3.5
8932,Avondale,Multi < 7,77220.0,17395.0,82.0,35.0,103.88,2.48
8934,Avondale,Multi < 7,35494.0,8032.0,53.0,28.0,109.75,2.52
8935,Avondale,Single Family,52660.0,4054.0,53.0,28.0,57.67,2.52
8936,Avondale,Multi < 7,73392.0,7781.0,33.0,23.0,105.33,1.5
8938,Avondale,Multi < 7,54167.0,10279.0,104.0,35.0,112.4,2.97
8939,Avondale,Single Family,53678.0,12035.0,104.0,35.0,112.71,2.97
8940,Avondale,Multi < 7,82608.0,10947.0,47.0,26.0,104.8,2.04
8942,Avondale,Multi < 7,83909.0,17327.0,69.0,22.0,97.88,3.14
8943,Avondale,Single Family,61184.0,8812.0,69.0,22.0,98.17,3.14
8944,Avondale,Multi < 7,49673.0,8562.0,57.0,25.0,82.75,2.59
8945,Avondale,Single Family,45254.0,4585.0,57.0,25.0,106.0,2.59
8947,Avondale,Multi < 7,19527.0,5626.0,23.0,11.0,113.67,2.3
8949,Avondale,Multi < 7,111142.0,15513.0,87.0,31.0,101.25,2.9
8951,Avondale,Multi < 7,79316.0,15882.0,74.0,28.0,110.0,2.74
8952,Avondale,Single Family,40319.0,5888.0,74.0,28.0,100.25,2.74
8956,Avondale,Multi < 7,40654.0,6206.0,49.0,17.0,104.0,3.27
8957,Avondale,Single Family,20723.0,6757.0,49.0,17.0,109.67,3.27
8959,Avondale,Multi < 7,80190.0,14346.0,113.0,34.0,101.71,3.53
8960,Avondale,Single Family,82993.0,13852.0,113.0,34.0,103.5,3.53
8961,Avondale,Multi < 7,39591.0,7067.0,45.0,18.0,110.6,2.65
8962,Avondale,Single Family,15473.0,3472.0,45.0,18.0,75.25,2.65
8963,Avondale,Multi < 7,65654.0,18115.0,57.0,37.0,26.5,1.73
8964,Avondale,Single Family,29185.0,3023.0,0.0,0.0,47.0,0.0
8965,Avondale,Multi < 7,41164.0,8456.0,46.0,23.0,107.5,2.19
8966,Avondale,Single Family,24351.0,6274.0,46.0,23.0,80.0,2.19
8967,Avondale,Multi 7+,55183.0,5380.0,99.0,49.0,81.0,2.36
8968,Avondale,Multi < 7,51240.0,15132.0,99.0,49.0,88.2,2.36
8969,Avondale,Single Family,139147.0,16470.0,99.0,49.0,101.08,2.36
8970,Avondale,Multi < 7,125128.0,17800.0,131.0,40.0,99.44,3.36
8971,Avondale,Single Family,130651.0,16390.0,131.0,40.0,99.27,3.36
8973,Avondale,Multi < 7,19860.0,4087.0,30.0,11.0,112.5,2.73
8974,Avondale,Single Family,20933.0,5887.0,30.0,11.0,70.33,2.73
8977,Avondale,Multi < 7,234651.0,36346.0,195.0,68.0,93.29,3.1
8978,Avondale,Single Family,39649.0,5090.0,195.0,68.0,101.75,3.1
8979,Avondale,Single Family,95707.0,15740.0,99.0,49.0,91.73,2.06
8980,Avondale,Multi < 7,100476.0,18817.0,106.0,35.0,79.22,3.03
8981,Avondale,Single Family,64703.0,13283.0,106.0,35.0,88.0,3.03
8982,Avondale,Multi 7+,94058.0,19624.0,158.0,73.0,82.33,2.39
8983,Avondale,Multi < 7,179982.0,21722.0,158.0,73.0,68.64,2.39
8984,Avondale,Single Family,68725.0,6579.0,158.0,73.0,89.8,2.39
8986,Avondale,Multi < 7,92024.0,18066.0,105.0,34.0,101.7,3.28
8987,Avondale,Single Family,35111.0,6797.0,105.0,34.0,99.4,3.28
8988,Avondale,Multi < 7,88943.0,14096.0,74.0,27.0,83.83,3.36
8989,Avondale,Single Family,33903.0,6179.0,74.0,27.0,116.0,3.36
8991,Avondale,Multi < 7,40384.0,5000.0,24.0,10.0,72.0,3.0
8992,Avondale,Multi < 7,177124.0,31543.0,98.0,23.0,110.0,4.45
8993,Avondale,Single Family,100926.0,16804.0,98.0,23.0,92.33,4.45
8994,Avondale,Multi < 7,100688.0,13634.0,92.0,36.0,91.88,2.97
8995,Avondale,Single Family,101775.0,13683.0,92.0,36.0,105.0,2.97
8996,Avondale,Multi < 7,124938.0,26148.0,89.0,45.0,94.15,2.62
8997,Avondale,Single Family,18103.0,2523.0,89.0,45.0,45.5,2.62
8998,Avondale,Multi < 7,36523.0,7134.0,39.0,26.0,105.0,1.95
8999,Avondale,Single Family,42351.0,6107.0,39.0,26.0,105.0,1.95
9000,Avondale,Multi < 7,125651.0,16315.0,84.0,42.0,109.0,2.15
9002,Avondale,Multi < 7,21680.0,3192.0,51.0,20.0,86.0,2.83
9005,Avondale,Multi < 7,196937.0,23554.0,118.0,32.0,77.67,3.93
9008,Avondale,Multi < 7,83203.0,18443.0,150.0,53.0,108.29,3.13
9009,Avondale,Single Family,52326.0,8176.0,150.0,53.0,87.0,3.13
9010,Avondale,Multi < 7,66605.0,14197.0,90.0,29.0,106.5,3.75
9011,Avondale,Single Family,62264.0,9614.0,90.0,29.0,84.63,3.75
9014,Avondale,Multi < 7,9100.0,3567.0,63.0,28.0,115.0,2.52
9016,Avondale,Multi < 7,72258.0,14204.0,89.0,45.0,104.17,2.02
9017,Avondale,Single Family,60720.0,8327.0,89.0,45.0,104.0,2.02
9018,Avondale,Multi < 7,39346.0,8462.0,34.0,11.0,95.6,3.56
9019,Avondale,Multi < 7,20545.0,6055.0,41.0,15.0,94.33,2.93
9020,Avondale,Single Family,16823.0,3889.0,41.0,15.0,93.0,2.93
9023,Avondale,Multi < 7,77569.0,11912.0,58.0,19.0,111.0,3.22
9024,Avondale,Multi 7+,14781.0,2149.0,57.0,17.0,115.0,3.35
9025,Avondale,Single Family,18133.0,4677.0,57.0,17.0,115.33,3.35
9026,Avondale,Multi 7+,11878.0,3891.0,94.0,33.0,115.0,2.94
9027,Avondale,Multi < 7,58776.0,6680.0,94.0,33.0,80.25,2.94
9028,Avondale,Single Family,113283.0,14379.0,94.0,33.0,87.15,2.94
9029,Avondale,Multi < 7,85487.0,18145.0,86.0,43.0,93.0,2.21
9030,Avondale,Single Family,114076.0,15893.0,86.0,43.0,96.09,2.21
9031,Avondale,Multi < 7,24376.0,4802.0,10.0,3.0,94.5,3.33
9032,Avondale,Single Family,25976.0,3145.0,9.0,6.0,100.5,3.0
9033,Avondale,Multi < 7,33717.0,8542.0,19.0,12.0,108.25,1.73
9034,Avondale,Multi < 7,47124.0,5334.0,0.0,0.0,141.0,0.0
9035,Avondale,Multi < 7,13714.0,2542.0,63.0,21.0,111.0,3.15
9036,Avondale,Single Family,62196.0,12091.0,63.0,21.0,101.22,3.15
9037,Avondale,Multi < 7,77055.0,15135.0,76.0,27.0,109.29,3.04
9038,Avondale,Single Family,47938.0,7222.0,76.0,27.0,89.4,3.04
9041,Avondale,Multi < 7,109975.0,21101.0,94.0,30.0,86.5,3.36
9045,Avondale,Multi < 7,95815.0,14991.0,81.0,34.0,99.44,2.79
9046,Avondale,Single Family,24070.0,5754.0,81.0,34.0,95.86,2.79
9048,Avondale,Multi < 7,16906.0,2378.0,77.0,33.0,111.0,2.57
9049,Avondale,Single Family,205426.0,20611.0,77.0,33.0,29.56,2.57
9052,Avondale,Multi < 7,118861.0,22821.0,96.0,41.0,104.25,2.67
9053,Avondale,Single Family,20040.0,3100.0,96.0,41.0,94.5,2.67
9055,Chatham,Single Family,25943.0,4496.0,22.0,12.0,0.0,2.0
9056,Avondale,Multi < 7,13230.0,1330.0,2.0,1.0,114.0,2.0
9057,Avondale,Multi < 7,13794.0,1918.0,2.0,3.0,108.0,1.0
9058,Avondale,Multi 7+,15972.0,6173.0,26.0,20.0,84.0,1.86
9061,Avondale,Multi < 7,14398.0,3823.0,13.0,9.0,79.33,2.6
9062,Avondale,Single Family,17352.0,3371.0,13.0,9.0,108.0,2.6
9063,Avondale,Multi < 7,66036.0,9484.0,0.0,0.0,94.17,0.0
9064,Chicago Lawn,Multi 7+,18076.0,7452.0,106.0,33.0,53.0,3.66
9065,Avondale,Single Family,18209.0,3365.0,0.0,0.0,116.67,0.0
9066,Avondale,Multi < 7,31487.0,2908.0,26.0,15.0,113.67,2.89
9067,Avondale,Single Family,30167.0,2992.0,26.0,15.0,117.0,2.89
9068,Avondale,Multi < 7,12053.0,2273.0,5.0,2.0,119.0,2.5
9069,Avondale,Multi < 7,108679.0,17118.0,55.0,22.0,98.0,2.75
9070,Avondale,Multi < 7,5009.0,1080.0,36.0,14.0,114.0,2.57
9071,Avondale,Multi < 7,26038.0,4435.0,42.0,20.0,50.5,2.47
9072,Avondale,Single Family,73687.0,13722.0,42.0,20.0,101.33,2.47
9073,Avondale,Multi 7+,3819.0,2141.0,16.0,5.0,84.0,3.2
9074,Avondale,Multi < 7,29524.0,5556.0,16.0,5.0,103.0,3.2
9075,Avondale,Multi < 7,29642.0,4131.0,16.0,7.0,117.5,2.29
9076,Avondale,Single Family,15772.0,3219.0,16.0,7.0,116.5,2.29
9078,Avondale,Multi 7+,25700.0,3458.0,97.0,60.0,81.0,1.76
9079,Avondale,Multi < 7,97883.0,28824.0,97.0,60.0,95.88,1.76
9080,Avondale,Single Family,79004.0,8374.0,97.0,60.0,66.67,1.76
9081,Avondale,Multi < 7,204836.0,31675.0,118.0,43.0,96.56,3.03
9082,Avondale,Single Family,18260.0,1865.0,118.0,43.0,88.0,3.03
